Datetime,Building Load (kWh),PV (kWh),Price (Euros/kWh),EV2 (A),EV2 (kW),EV2 (kWh),EV0 (A),EV0 (kW),EV0 (kWh),EV3 (A),EV3 (kW),EV3 (kWh),EV1 (A),EV1 (kW),EV1 (kWh)
2022-03-21 06:00:00,2.3362000000000003,0.0062,0.18685,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2022-03-21 06:05:00,3.4688,0.0064,0.18685,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2022-03-21 06:10:00,7.333799999999998,0.0052,0.18685,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2022-03-21 06:15:00,9.9364,0.0054,0.18685,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2022-03-21 06:20:00,8.617799999999999,0.0056,0.18685,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2022-03-21 06:25:00,7.0204,0.005,0.18685,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2022-03-21 06:30:00,7.170400000000001,0.005,0.18685,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2022-03-21 06:35:00,7.1068,0.0052,0.18685,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2022-03-21 06:40:00,8.106,0.0056,0.18685,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2022-03-21 06:45:00,8.8596,0.004,0.18685,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2022-03-21 06:50:00,10.828399999999998,-0.0438,0.18685,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2022-03-21 06:55:00,10.223,-0.121,0.18685,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2022-03-21 07:00:00,10.081,-0.2592,0.264,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2022-03-21 07:05:00,12.1986,-0.4352,0.264,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2022-03-21 07:10:00,15.060199999999998,-0.616,0.264,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2022-03-21 07:15:00,12.700400000000002,-0.8234,0.264,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2022-03-21 07:20:00,11.9242,-1.0654,0.264,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2022-03-21 07:25:00,11.9202,-1.3224,0.264,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2022-03-21 07:30:00,11.7654,-1.5524,0.264,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2022-03-21 07:35:00,12.8458,-1.7794,0.264,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2022-03-21 07:40:00,13.254599999999998,-2.0486,0.264,6.0,1.892399981498949,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2022-03-21 07:45:00,16.119199999999996,-2.3422,0.264,6.0,1.8923999821475503,0.0,20,6.308000060078729,0.0,0,0.0,0.0,0.0,0.0,0.0
2022-03-21 07:50:00,16.675199999999997,-2.6416,0.264,6.0,1.8923999821281616,0.0,20,6.308000059914084,0.0,0,0.0,0.0,0.0,0.0,0.0
2022-03-21 07:55:00,14.020599999999998,-2.9404,0.264,6.0,1.892399981629292,0.0,20,6.30800006247285,0.0,20,6.308000062471856,0.0,0.0,0.0,0.0
2022-03-21 08:00:00,15.275799999999998,-3.228,0.288,6.0,1.8923999819713,0.0,20,6.308000051958199,0.0,20,6.308000054666141,0.0,0.0,0.0,0.0
2022-03-21 08:05:00,16.4262,-3.566,0.288,6.0,1.8923999819222104,0.0,20,6.30800002320273,0.0,20,6.30800004472826,0.0,0.0,0.0,0.0
2022-03-21 08:10:00,13.914,-3.871,0.288,6.0,1.892399982120882,0.0,20,6.308000059073278,0.0,20,6.30800005941708,0.0,0.0,0.0,0.0
2022-03-21 08:15:00,14.011599999999998,-4.1996,0.288,6.0,1.892399982141392,0.0,20,6.308000059348798,0.0,20,6.308000059668523,0.0,0.0,0.0,0.0
2022-03-21 08:20:00,14.4208,-4.457800000000001,0.288,6.0,1.8923999821278952,0.0,20,6.308000059173234,0.0,20,6.3080000595260985,0.0,0.0,0.0,0.0
2022-03-21 08:25:00,14.2604,-4.776999999999999,0.288,6.0,1.8923999821719943,0.0,20,6.308000059680575,0.0,20,6.308000059937146,0.0,0.0,0.0,0.0
2022-03-21 08:30:00,14.9564,-5.0566,0.288,6.0,1.8923999821335025,0.0,20,6.308000059248196,0.0,20,6.308000059598308,0.0,6.0,1.89239998151352,0.0
2022-03-21 08:35:00,16.532000000000004,-5.3476,0.288,6.0,1.8923999820301247,0.0,20,6.308000056769797,0.0,20,6.308000057641569,0.0,6.0,1.892399981515953,0.0
2022-03-21 08:40:00,13.9586,-5.6544,0.288,6.0,1.892399982297952,0.0,20,6.308000060503924,0.0,20,6.308000060667474,0.0,6.0,1.892399981565416,0.0
2022-03-21 08:45:00,13.900799999999991,-5.9646,0.288,6.0,1.8923999823434072,0.0,20,6.3080000606849485,0.0,20,6.308000060828207,0.0,6.0,1.892399981544117,0.0
2022-03-21 08:50:00,14.683800000000003,-6.2924,0.288,6.0,1.8923999822876545,0.0,20,6.308000060456553,0.0,20,6.308000060617041,0.0,6.0,1.8923999815378287,0.0
2022-03-21 08:55:00,14.547600000000006,-6.5840000000000005,0.288,19.69,6.2099963432860426,0.0,20,6.307995095189149,0.0,20,6.307995186481223,0.0,6.0,1.8923999814873569,0.0
2022-03-21 09:00:00,14.439599999999997,-6.885,0.26842,20.0,6.308000063070744,-6.210293388433275e-11,20,6.3080000630706525,-6.270903008633587e-11,20,6.30800006307093,-6.085840024139505e-11,6.0,1.8923999815639352,-4.44609859902001e-16
2022-03-21 09:05:00,14.579000000000002,-7.1312,0.26842,20.0,6.3080000568531815,0.0,20,6.30800006151094,0.0,20,6.308000057231907,0.0,6.0,1.8923999812441763,0.0
2022-03-21 09:10:00,14.108399999999998,-7.4068,0.26842,20.0,6.308000059617324,0.0,20,6.3080000602673,0.0,20,6.308000061978121,0.0,6.0,1.8923999812483057,0.0
2022-03-21 09:15:00,13.771200000000006,-7.6788,0.26842,20.0,6.308000063069239,-4.9785972500560274e-11,20,6.308000063070695,-5.801109259437361e-11,20,6.308000063071501,-5.283018757960152e-11,6.0,1.892400338672432,-1.5072966974521192e-14
2022-03-21 09:20:00,15.504400000000002,-7.912000000000001,0.26842,20.0,6.308000063072662,-4.923664431048141e-11,20,6.308000063071482,-5.7154769609402205e-11,20,6.3080000630722415,-5.2052435435542116e-11,6.0,1.8923999815633143,1.001016771461198e-15
2022-03-21 09:25:00,13.838,-8.174800000000001,0.26842,20.0,6.30800006247969,0.0,20,6.308000062383946,0.0,20,6.30800006244622,0.0,6.0,1.892399981598804,0.0
2022-03-21 09:30:00,13.599799999999998,-8.451600000000001,0.26842,20.0,6.308000061996002,0.0,20,6.308000061049093,0.0,20,6.3080000613910165,0.0,6.0,1.892399981576545,0.0
2022-03-21 09:35:00,13.621400000000005,-8.6816,0.26842,20.0,6.308000062464843,0.0,20,6.308000063076539,0.0,20,6.308000064268895,0.0,6.0,1.892399981528116,0.0
2022-03-21 09:40:00,14.086600000000002,-8.8856,0.26842,20.0,6.308000063072902,-4.762569735197197e-11,20,6.308000063071696,-5.5289531123049395e-11,20,6.308000063068803,-5.1967818374310126e-11,6.0,1.8923999815869808,1.4104912711611771e-11
2022-03-21 09:45:00,13.731399999999995,-9.0934,0.26842,20.0,6.30800006221298,0.0,20,6.308000062687924,0.0,20,6.308000063192025,0.0,6.0,1.892399981234244,0.0
2022-03-21 09:50:00,14.101200000000002,-9.27,0.26842,20.0,6.308000061208475,0.0,20,6.308000060899827,0.0,20,6.308000060981327,0.0,6.0,1.892399981259606,0.0
2022-03-21 09:55:00,16.491,-9.4558,0.26842,20.0,6.308000046943718,0.0,20,6.308000040412414,0.0,20,6.308000041875917,0.0,6.0,1.8923999812505576,0.0
2022-03-21 10:00:00,16.019,-9.6424,0.21029,20.0,6.308000063077081,-1.9585159300231608e-11,20,6.308000063077087,-1.9536599585401367e-11,20,6.308000063077101,-1.9448491108142148e-11,6.0,1.892399981381478,1.516501420826756e-17
2022-03-21 10:05:00,14.097800000000008,-9.8656,0.21029,20.0,6.308000063077137,-1.920561338491192e-11,20,6.308000063077141,-1.9179178541913687e-11,20,6.308000063075707,-1.897447333388649e-11,6.0,1.8923999814068848,1.5407960773263114e-17
2022-03-21 10:10:00,14.107,-10.0126,0.21029,20.0,6.308000063076949,-1.8806115582447968e-11,20,6.308000063076424,-1.8758621161140697e-11,20,6.308000063076441,-1.867630709552643e-11,6.0,1.8924006561757865,-1.7964581253786608e-14
2022-03-21 10:15:00,15.215800000000003,-10.1358,0.21029,20.0,6.308000061576703,0.0,20,6.308000062809778,0.0,20,6.308000062809106,0.0,6.0,1.892399981396351,0.0
2022-03-21 10:20:00,13.7894,-10.295,0.21029,20.0,6.3080000628533766,0.0,20,6.308000062828496,0.0,20,6.308000062857458,0.0,6.0,1.892399981416632,0.0
2022-03-21 10:25:00,13.707600000000005,-10.492,0.21029,20.0,6.308000063077586,-1.620178365878947e-11,20,6.308000063077266,-1.834493793742652e-11,20,6.30800006307727,-1.8306930709241166e-11,6.0,1.89239998146273,1.3219400461094677e-17
2022-03-21 10:30:00,14.5828,-10.5904,0.21029,20.0,6.308000063077636,-1.585369605069881e-11,20,6.308000063077319,-1.7974915856000213e-11,20,6.308000063077325,-1.7937951656122193e-11,6.0,1.8923999819966424,-7.900367259141047e-17
2022-03-21 10:35:00,13.7838,-10.848,0.21029,20.0,6.308000063077161,-1.546261594653961e-11,20,6.30800006307651,-1.753437842729096e-11,20,6.308000063076928,-1.7531721683520732e-11,6.0,1.892400688117056,-1.8697967089679022e-14
2022-03-21 10:40:00,13.7362,-11.0184,0.21029,20.0,6.30800006307774,-1.5158245133302703e-11,20,6.308000063077429,-1.723631021244381e-11,20,6.308000063077436,-1.7200178041712084e-11,6.0,1.892399982045127,3.099262869615071e-15
2022-03-21 10:45:00,13.870400000000002,-11.1042,0.21029,20.0,6.308000063077791,-1.480991551448071e-11,20,6.308000063077484,-1.6866124776264024e-11,20,6.308000063077491,-1.6830742692940722e-11,6.0,1.892399982043215,3.291486370241051e-15
2022-03-21 10:50:00,13.163400000000005,-11.2172,0.21029,20.0,6.308000063077701,-1.4450004111254364e-11,20,6.308000063077397,-1.6484220891330883e-11,20,6.308000063072258,-1.6030474781095926e-11,6.0,1.8924007178936075,-3.575660920862724e-15
2022-03-21 10:55:00,13.657000000000004,-11.3956,0.21029,20.0,6.308000063077469,-1.407877421301618e-11,20,6.3080000630772695,-1.6099110450815988e-11,20,6.308000063077192,-1.6067896656993277e-11,6.0,1.89240070814074,-3.817612296191778e-15
2022-03-21 11:00:00,13.633,-11.4946,0.1928,20.0,6.308000063077938,-1.3764812315402102e-11,20,6.3080000630776425,-1.5755077091015074e-11,20,6.308000063077656,-1.5731982280443438e-11,6.0,1.892399982318,-2.4456985063248656e-19
2022-03-21 11:05:00,14.913200000000003,-11.5186,0.1928,20.0,6.308000063076586,-1.3301977644957662e-11,20,6.308000063076813,-1.5312433438630138e-11,20,6.3080000630768405,-1.5291095149616247e-11,6.0,1.892400847156186,-1.9354005019408496e-14
2022-03-21 11:10:00,13.805599999999998,-11.6938,0.1928,20.0,6.308000063077773,-1.3048321925605064e-11,20,6.308000028139942,2.778015854467181e-09,20,6.308000063077385,-1.4962248969828114e-11,20.0,6.307998376892666,-2.3158243574977452e-14
2022-03-21 11:15:00,13.633799999999995,-11.758,0.1928,20.0,6.308000063075129,-1.2481294351928816e-11,20,6.308000063064733,-8.044650832033273e-11,20,6.308000063077308,-1.4581968507409256e-11,20.0,6.307998408848919,-2.8850225784390123e-15
2022-03-21 11:20:00,14.425999999999997,-11.86,0.1928,20.0,6.308000063078057,-1.2371898478921283e-11,20,6.308000063068233,-7.866802363675666e-11,20,6.308000061155287,1.4172240357349308e-10,14.97,4.722040132976225,-1.3556667276188806e-14
2022-03-21 11:25:00,13.919200000000002,-11.9312,0.1928,20.0,6.308000063078205,-1.2030266043352608e-11,20,6.308000063068578,-7.66258578370976e-11,20,6.308000063077341,-1.782871157846915e-11,20.0,6.308000008597764,-6.296757523527032e-12
2022-03-21 11:30:00,13.762199999999996,-11.9026,0.1928,20.0,6.308000063078257,-1.1680696509487267e-11,20,6.308000063068884,-7.457984169593169e-11,20,6.308000063077413,-1.735274456961391e-11,20.0,6.307964806119908,-2.5873991067747812e-14
2022-03-21 11:35:00,13.674000000000005,-11.8156,0.1928,20.0,6.3080000630783095,-1.1331119781758824e-11,20,6.308000063069187,-7.253280393405623e-11,20,6.308000063077484,-1.6876422220595508e-11,6.0,1.892399981901018,-5.251073017445033e-12
2022-03-21 11:40:00,14.437200000000004,-11.9362,0.1928,20.0,6.308000063078363,-1.0981343276943848e-11,20,6.3080000630694935,-7.048505190460834e-11,20,6.308000063077555,-1.639994575370638e-11,6.0,1.892399981639368,-1.65190631298459e-09
2022-03-21 11:45:00,17.2266,-12.0186,0.1928,20.0,6.308000063078415,-1.0631279131125244e-11,20,6.308000063069801,-6.8436838958777e-11,20,6.3080000630776265,-1.592357088015378e-11,6.0,1.8923999819143829,5.913231450864725e-10
2022-03-21 11:50:00,15.002599999999996,-11.9974,0.1928,20.0,6.308000063078468,-1.028106479217836e-11,20,6.308000063070105,-6.638760905542702e-11,20,6.308000063077698,-1.544666322212174e-11,20.0,6.308000061269836,-1.2145633431292816e-08
2022-03-21 11:55:00,13.6548,-11.8688,0.1928,20.0,6.308000063078519,-9.930670545900192e-12,20,6.30800006307041,-6.433759360093859e-11,20,6.308000063077768,-1.4969662802352386e-11,20.0,6.308000061300161,-1.1942259480109468e-08
2022-03-21 12:00:00,14.829599999999996,-11.916,0.1745,20.0,6.308000063078569,-9.579943897271006e-12,20,6.3080000630707165,-6.228689058276176e-11,20,6.308000063077839,-1.4492539972459106e-11,20.0,6.3080000613305405,-1.1738846478799324e-08
2022-03-21 12:05:00,14.692999999999998,-11.9514,0.1745,20.0,6.308000063078624,-9.229416538221038e-12,20,6.308000063071022,-6.023524049073282e-11,20,6.308000063077911,-1.4015267873792646e-11,20.0,6.3080000613574345,-1.1535104722896749e-08
2022-03-21 12:10:00,13.6768,-11.9614,0.1745,20.0,6.308000063078676,-8.878709220957672e-12,20,6.308000063071328,-5.8182829304033586e-11,20,6.308000063077982,-1.3537683103728366e-11,20.0,6.308000061390983,-1.1331865356022428e-08
2022-03-21 12:15:00,13.402399999999997,-11.96,0.1745,20.0,6.308000063078729,-8.527670596543876e-12,20,6.308000063071634,-5.6129487773437685e-11,20,6.308000063078053,-1.305995153649161e-11,20.0,6.308000061421503,-1.1128328606465028e-08
2022-03-21 12:20:00,13.729599999999998,-11.8732,0.1745,20.0,6.30800006307878,-8.176544221204255e-12,20,6.30800006307194,-5.407524684413404e-11,20,6.308000063078125,-1.2582008008233451e-11,20.0,6.308000061451824,-1.092472862212828e-08
2022-03-21 12:25:00,13.741600000000002,-11.9168,0.1745,20.0,6.3080000630788335,-7.825237127299523e-12,20,6.308000063072245,-5.201966423940821e-11,20,6.308000063078195,-1.2103717077875086e-11,20.0,6.308000061482212,-1.0721085962668574e-08
2022-03-21 12:30:00,15.2178,-11.871199999999998,0.1745,20.0,6.308000063078768,-7.464300392132256e-12,20,6.308000063072341,-4.994649116500224e-11,20,6.308000063078146,-1.1615671161347459e-11,20.0,6.307999649458144,8.432424267465144e-09
2022-03-21 12:35:00,13.575,-11.789,0.1745,20.0,6.308000063078938,-7.1224216766100594e-12,20,6.30800006307286,-4.7906978340958465e-11,20,6.308000063078338,-1.114701474839493e-11,20.0,6.30800006153261,-1.0382644663569131e-08
