Time;Voltage [U];Voltage [V];Voltage [W];;;Current [U];Current [V];Current [W];;;Power [U];Power [V];Power [W]
05/07/2023 16:47:41:315;345.998;0;0;;;0.0892016;0;0;;;30.878;0;0
05/07/2023 16:47:41:319;345.998;0;0;;;0.0892016;0;0;;;30.878;0;0
05/07/2023 16:47:42:296;345.997;0;0;;;0.089769;0;0;;;31.1326;0;0
05/07/2023 16:47:42:301;345.997;0;0;;;0.089769;0;0;;;31.1326;0;0
05/07/2023 16:47:43:434;345.996;0;0;;;0.0895588;0;0;;;31.0649;0;0
05/07/2023 16:47:43:437;345.996;0;0;;;0.0895588;0;0;;;31.0649;0;0
05/07/2023 16:47:44:585;345.996;0;0;;;0.0892125;0;0;;;30.9448;0;0
05/07/2023 16:47:44:588;345.996;0;0;;;0.0892125;0;0;;;30.9448;0;0
05/07/2023 16:47:45:780;345.997;0;0;;;0.090042;0;0;;;31.1499;0;0
05/07/2023 16:47:45:782;345.997;0;0;;;0.090042;0;0;;;31.1499;0;0
05/07/2023 16:47:46:605;345.996;7.6116e-311;7.6116e-311;;;0.0890953;7.6116e-311;7.6116e-311;;;30.824;7.6116e-311;7.6116e-311
05/07/2023 16:47:46:608;345.996;7.62009e-311;7.62009e-311;;;0.0890953;7.62009e-311;7.62009e-311;;;30.824;7.62009e-311;7.62009e-311
05/07/2023 16:47:47:599;345.998;7.62857e-311;7.62857e-311;;;0.0897496;7.62857e-311;7.62857e-311;;;31.0781;7.62857e-311;7.62857e-311
05/07/2023 16:47:47:602;345.998;7.63706e-311;7.63706e-311;;;0.0897496;7.63706e-311;7.63706e-311;;;31.0781;7.63706e-311;7.63706e-311
05/07/2023 16:47:48:615;345.997;7.64555e-311;7.64555e-311;;;0.0878429;7.64555e-311;7.64555e-311;;;30.447;7.64555e-311;7.64555e-311
05/07/2023 16:47:48:618;345.997;7.65404e-311;7.65404e-311;;;0.0878429;7.65404e-311;7.65404e-311;;;30.447;7.65404e-311;7.65404e-311
05/07/2023 16:47:49:619;345.997;7.66253e-311;7.66253e-311;;;0.0898523;7.66253e-311;7.66253e-311;;;31.1573;7.66253e-311;7.66253e-311
05/07/2023 16:47:49:622;345.997;7.67101e-311;7.67101e-311;;;0.0898523;7.67101e-311;7.67101e-311;;;31.1573;7.67101e-311;7.67101e-311
05/07/2023 16:47:50:657;345.996;7.6795e-311;7.6795e-311;;;0.0888536;7.6795e-311;7.6795e-311;;;30.7124;7.6795e-311;7.6795e-311
05/07/2023 16:47:50:658;345.996;7.68799e-311;7.68799e-311;;;0.0888536;7.68799e-311;7.68799e-311;;;30.7124;7.68799e-311;7.68799e-311
05/07/2023 16:47:51:654;345.998;7.69648e-311;7.69648e-311;;;0.0887974;7.69648e-311;7.69648e-311;;;30.7069;7.69648e-311;7.69648e-311
05/07/2023 16:47:51:655;345.998;7.70497e-311;7.70497e-311;;;0.0887974;7.70497e-311;7.70497e-311;;;30.7069;7.70497e-311;7.70497e-311
05/07/2023 16:47:52:676;345.997;7.71345e-311;7.71345e-311;;;0.0891137;7.71345e-311;7.71345e-311;;;30.9328;7.71345e-311;7.71345e-311
05/07/2023 16:47:52:678;345.997;7.72194e-311;7.72194e-311;;;0.0891137;7.72194e-311;7.72194e-311;;;30.9328;7.72194e-311;7.72194e-311
05/07/2023 16:47:53:677;345.997;1.79939e-320;1.79939e-320;;;0.0886049;1.79939e-320;1.79939e-320;;;30.6766;1.79939e-320;1.79939e-320
05/07/2023 16:47:53:680;345.997;7.73892e-311;7.73892e-311;;;0.0886049;7.73892e-311;7.73892e-311;;;30.6766;7.73892e-311;7.73892e-311
05/07/2023 16:47:54:709;345.997;7.74741e-311;7.74741e-311;;;0.0885911;7.74741e-311;7.74741e-311;;;30.5002;7.74741e-311;7.74741e-311
05/07/2023 16:47:54:711;345.997;7.75589e-311;7.75589e-311;;;0.0885911;7.75589e-311;7.75589e-311;;;30.5002;7.75589e-311;7.75589e-311
05/07/2023 16:47:55:694;345.997;7.76438e-311;7.76438e-311;;;0.0882098;7.76438e-311;7.76438e-311;;;30.5921;7.76438e-311;7.76438e-311
05/07/2023 16:47:55:697;345.997;7.77287e-311;7.77287e-311;;;0.0882098;7.77287e-311;7.77287e-311;;;30.5921;7.77287e-311;7.77287e-311
05/07/2023 16:47:56:742;345.997;7.78136e-311;7.78136e-311;;;0.0882876;7.78136e-311;7.78136e-311;;;30.522;7.78136e-311;7.78136e-311
05/07/2023 16:47:56:746;345.997;7.78985e-311;7.78985e-311;;;0.0882876;7.78985e-311;7.78985e-311;;;30.522;7.78985e-311;7.78985e-311
05/07/2023 16:47:57:747;345.998;7.79833e-311;7.79833e-311;;;0.0898695;7.79833e-311;7.79833e-311;;;31.1109;7.79833e-311;7.79833e-311
05/07/2023 16:47:57:752;345.998;0;0;;;0.0898695;0;0;;;31.1109;0;0
05/07/2023 16:47:58:763;345.997;1.78715e+161;1.78715e+161;;;0.0898172;1.78715e+161;1.78715e+161;;;31.0963;1.78715e+161;1.78715e+161
05/07/2023 16:47:58:766;345.997;0;0;;;0.0898172;0;0;;;31.0963;0;0
05/07/2023 16:47:59:762;345.996;1.9098e-313;1.9098e-313;;;0.08752;1.9098e-313;1.9098e-313;;;30.2922;1.9098e-313;1.9098e-313
05/07/2023 16:47:59:765;345.996;2.8707e-306;2.8707e-306;;;0.08752;2.8707e-306;2.8707e-306;;;30.2922;2.8707e-306;2.8707e-306
05/07/2023 16:48:00:799;345.997;4.72853e-307;4.72853e-307;;;0.0891883;4.72853e-307;4.72853e-307;;;30.9242;4.72853e-307;4.72853e-307
05/07/2023 16:48:00:802;345.997;2.36475e-308;2.36475e-308;;;0.0891883;2.36475e-308;2.36475e-308;;;30.9242;2.36475e-308;2.36475e-308
05/07/2023 16:48:01:793;345.996;4.72828e-307;4.72828e-307;;;0.086437;4.72828e-307;4.72828e-307;;;29.846;4.72828e-307;4.72828e-307
05/07/2023 16:48:01:796;345.996;8.285e-317;8.285e-317;;;0.086437;8.285e-317;8.285e-317;;;29.846;8.285e-317;8.285e-317
05/07/2023 16:48:02:852;345.997;0;0;;;0.0882861;0;0;;;30.5491;0;0
05/07/2023 16:48:02:855;345.997;0;0;;;0.0882861;0;0;;;30.5491;0;0
05/07/2023 16:48:03:861;345.997;1.50202e-307;1.50202e-307;;;0.0887685;1.50202e-307;1.50202e-307;;;30.8142;1.50202e-307;1.50202e-307
05/07/2023 16:48:03:865;345.997;1.50201e-307;1.50201e-307;;;0.0887685;1.50201e-307;1.50201e-307;;;30.8142;1.50201e-307;1.50201e-307
05/07/2023 16:48:04:861;345.997;1.50201e-307;1.50201e-307;;;0.0892358;1.50201e-307;1.50201e-307;;;30.8713;1.50201e-307;1.50201e-307
05/07/2023 16:48:04:864;345.997;8.90104e-307;8.90104e-307;;;0.0892358;8.90104e-307;8.90104e-307;;;30.8713;8.90104e-307;8.90104e-307
05/07/2023 16:48:05:862;345.996;7.56593e-307;7.56593e-307;;;0.0897358;7.56593e-307;7.56593e-307;;;31.0928;7.56593e-307;7.56593e-307
05/07/2023 16:48:05:865;345.996;7.56593e-307;7.56593e-307;;;0.0897358;7.56593e-307;7.56593e-307;;;31.0928;7.56593e-307;7.56593e-307
05/07/2023 16:48:06:903;345.996;1.69119e-306;1.69119e-306;;;0.0900583;1.69119e-306;1.69119e-306;;;31.1658;1.69119e-306;1.69119e-306
05/07/2023 16:48:06:907;345.996;1.60221e-306;1.60221e-306;;;0.0900583;1.60221e-306;1.60221e-306;;;31.1658;1.60221e-306;1.60221e-306
05/07/2023 16:48:07:897;345.998;1.11261e-306;1.11261e-306;;;0.0884064;1.11261e-306;1.11261e-306;;;30.573;1.11261e-306;1.11261e-306
05/07/2023 16:48:07:901;345.998;1.86922e-306;1.86922e-306;;;0.0884064;1.86922e-306;1.86922e-306;;;30.573;1.86922e-306;1.86922e-306
05/07/2023 16:48:08:923;345.997;3.22646e-307;3.22646e-307;;;0.0898355;3.22646e-307;3.22646e-307;;;31.1709;3.22646e-307;3.22646e-307
05/07/2023 16:48:08:926;345.997;2.44768e-307;2.44768e-307;;;0.0898355;2.44768e-307;2.44768e-307;;;31.1709;2.44768e-307;2.44768e-307
05/07/2023 16:48:09:913;345.997;1.00133e-307;1.00133e-307;;;0.0888677;1.00133e-307;1.00133e-307;;;30.7459;1.00133e-307;1.00133e-307
05/07/2023 16:48:09:917;345.997;1.22384e-307;1.22384e-307;;;0.0888677;1.22384e-307;1.22384e-307;;;30.7459;1.22384e-307;1.22384e-307
05/07/2023 16:48:10:960;345.997;2.13621e-306;2.13621e-306;;;0.0906852;2.13621e-306;2.13621e-306;;;31.4047;2.13621e-306;2.13621e-306
05/07/2023 16:48:10:963;345.997;8.01102e-307;8.01102e-307;;;0.0906852;8.01102e-307;8.01102e-307;;;31.4047;8.01102e-307;8.01102e-307
05/07/2023 16:48:11:960;345.996;1.29061e-306;1.29061e-306;;;0.0868964;1.29061e-306;1.29061e-306;;;30.0672;1.29061e-306;1.29061e-306
05/07/2023 16:48:11:964;345.996;1.24611e-306;1.24611e-306;;;0.0868964;1.24611e-306;1.24611e-306;;;30.0672;1.24611e-306;1.24611e-306
05/07/2023 16:48:12:994;345.996;1.11261e-306;1.11261e-306;;;0.0897431;1.11261e-306;1.11261e-306;;;31.0351;1.11261e-306;1.11261e-306
05/07/2023 16:48:12:999;345.996;8.01098e-307;8.01098e-307;;;0.0897431;8.01098e-307;8.01098e-307;;;31.0351;8.01098e-307;8.01098e-307
05/07/2023 16:48:13:993;345.997;1.37962e-306;1.37962e-306;;;0.0898829;1.37962e-306;1.37962e-306;;;31.1603;1.37962e-306;1.37962e-306
05/07/2023 16:48:13:997;345.997;1.11261e-306;1.11261e-306;;;0.0898829;1.11261e-306;1.11261e-306;;;31.1603;1.11261e-306;1.11261e-306
05/07/2023 16:48:15:026;345.997;7.56599e-307;7.56599e-307;;;0.0899091;7.56599e-307;7.56599e-307;;;31.1365;7.56599e-307;7.56599e-307
05/07/2023 16:48:15:030;345.997;8.01101e-307;8.01101e-307;;;0.0899091;8.01101e-307;8.01101e-307;;;31.1365;8.01101e-307;8.01101e-307
05/07/2023 16:48:16:023;345.996;1.502e-307;1.502e-307;;;0.0877437;1.502e-307;1.502e-307;;;30.4348;1.502e-307;1.502e-307
05/07/2023 16:48:16:028;345.996;1.50199e-307;1.50199e-307;;;0.0877437;1.50199e-307;1.50199e-307;;;30.4348;1.50199e-307;1.50199e-307
05/07/2023 16:48:17:056;345.997;7.56577e-307;7.56577e-307;;;0.0890593;7.56577e-307;7.56577e-307;;;30.8258;7.56577e-307;7.56577e-307
05/07/2023 16:48:17:061;345.997;1.3796e-306;1.3796e-306;;;0.0890593;1.3796e-306;1.3796e-306;;;30.8258;1.3796e-306;1.3796e-306
05/07/2023 16:48:18:066;345.997;1.60217e-306;1.60217e-306;;;0.0898469;1.60217e-306;1.60217e-306;;;31.0305;1.60217e-306;1.60217e-306
05/07/2023 16:48:18:069;345.997;1.3796e-306;1.3796e-306;;;0.0898469;1.3796e-306;1.3796e-306;;;31.0305;1.3796e-306;1.3796e-306
05/07/2023 16:48:19:092;345.997;7.56591e-307;7.56591e-307;;;0.0894438;7.56591e-307;7.56591e-307;;;31.0701;7.56591e-307;7.56591e-307
05/07/2023 16:48:19:096;345.997;1.33512e-306;1.33512e-306;;;0.0894438;1.33512e-306;1.33512e-306;;;31.0701;1.33512e-306;1.33512e-306
05/07/2023 16:48:20:089;345.998;9.34606e-307;9.34606e-307;;;0.089859;9.34606e-307;9.34606e-307;;;31.046;9.34606e-307;9.34606e-307
05/07/2023 16:48:20:092;345.998;1.37959e-306;1.37959e-306;;;0.089859;1.37959e-306;1.37959e-306;;;31.046;1.37959e-306;1.37959e-306
05/07/2023 16:48:21:112;345.995;1.50201e-307;1.50201e-307;;;0.0887594;1.50201e-307;1.50201e-307;;;30.6653;1.50201e-307;1.50201e-307
05/07/2023 16:48:21:115;345.995;4.22784e-307;4.22784e-307;;;0.0887594;4.22784e-307;4.22784e-307;;;30.6653;4.22784e-307;4.22784e-307
05/07/2023 16:48:22:099;345.997;1.50201e-307;1.50201e-307;;;0.0896597;1.50201e-307;1.50201e-307;;;31.1008;1.50201e-307;1.50201e-307
05/07/2023 16:48:22:102;345.997;1.502e-307;1.502e-307;;;0.0896597;1.502e-307;1.502e-307;;;31.1008;1.502e-307;1.502e-307
05/07/2023 16:48:23:155;345.996;1.1126e-306;1.1126e-306;;;0.0871241;1.1126e-306;1.1126e-306;;;30.1551;1.1126e-306;1.1126e-306
05/07/2023 16:48:23:160;345.996;7.56599e-307;7.56599e-307;;;0.0871241;7.56599e-307;7.56599e-307;;;30.1551;7.56599e-307;7.56599e-307
05/07/2023 16:48:24:155;345.997;1.33511e-306;1.33511e-306;;;0.0889871;1.33511e-306;1.33511e-306;;;30.8246;1.33511e-306;1.33511e-306
05/07/2023 16:48:24:158;345.997;1.06811e-306;1.06811e-306;;;0.0889871;1.06811e-306;1.06811e-306;;;30.8246;1.06811e-306;1.06811e-306
05/07/2023 16:48:25:186;345.996;1.24611e-306;1.24611e-306;;;0.0881965;1.24611e-306;1.24611e-306;;;30.4992;1.24611e-306;1.24611e-306
05/07/2023 16:48:25:190;345.996;1.50212e-307;1.50212e-307;;;0.0881965;1.50212e-307;1.50212e-307;;;30.4992;1.50212e-307;1.50212e-307
05/07/2023 16:48:26:190;345.996;1.50212e-307;1.50212e-307;;;-19.9021;1.50212e-307;1.50212e-307;;;-6895.29;1.50212e-307;1.50212e-307
05/07/2023 16:48:26:194;345.996;1.60221e-306;1.60221e-306;;;-19.9021;1.60221e-306;1.60221e-306;;;-6895.29;1.60221e-306;1.60221e-306
05/07/2023 16:48:27:206;346.001;1.7802e-306;1.7802e-306;;;-19.979;1.7802e-306;1.7802e-306;;;-6912.51;1.7802e-306;1.7802e-306
05/07/2023 16:48:27:209;346.001;1.29061e-306;1.29061e-306;;;-19.979;1.29061e-306;1.29061e-306;;;-6912.51;1.29061e-306;1.29061e-306
05/07/2023 16:48:28:200;346.006;1.7802e-306;1.7802e-306;;;-19.9809;1.7802e-306;1.7802e-306;;;-6913.21;1.7802e-306;1.7802e-306
05/07/2023 16:48:28:206;346.006;1.50201e-307;1.50201e-307;;;-19.9809;1.50201e-307;1.50201e-307;;;-6913.21;1.50201e-307;1.50201e-307
05/07/2023 16:48:29:234;346.011;1.50202e-307;1.50202e-307;;;-19.9826;1.50202e-307;1.50202e-307;;;-6913.6;1.50202e-307;1.50202e-307
05/07/2023 16:48:29:237;346.011;2.67019e-307;2.67019e-307;;;-19.9826;2.67019e-307;2.67019e-307;;;-6913.6;2.67019e-307;2.67019e-307
05/07/2023 16:48:30:223;346.018;3.22646e-307;3.22646e-307;;;-19.9836;3.22646e-307;3.22646e-307;;;-6914.36;3.22646e-307;3.22646e-307
05/07/2023 16:48:30:227;346.018;3.56032e-307;3.56032e-307;;;-19.9836;3.56032e-307;3.56032e-307;;;-6914.36;3.56032e-307;3.56032e-307
05/07/2023 16:48:31:276;346.024;7.43654e-219;7.43654e-219;;;-19.9833;7.43654e-219;7.43654e-219;;;-6914.39;7.43654e-219;7.43654e-219
05/07/2023 16:48:31:279;346.024;1.02941e-218;1.02941e-218;;;-19.9833;1.02941e-218;1.02941e-218;;;-6914.39;1.02941e-218;1.02941e-218
05/07/2023 16:48:32:279;346.029;1.73391e-221;1.73391e-221;;;-19.9847;1.73391e-221;1.73391e-221;;;-6915.04;1.73391e-221;1.73391e-221
05/07/2023 16:48:32:285;346.029;2.16105e-217;2.16105e-217;;;-19.9847;2.16105e-217;2.16105e-217;;;-6915.04;2.16105e-217;2.16105e-217
05/07/2023 16:48:33:322;346.034;5.32417e-219;5.32417e-219;;;-19.9832;5.32417e-219;5.32417e-219;;;-6914.53;5.32417e-219;5.32417e-219
05/07/2023 16:48:33:326;346.034;3.77807e-220;3.77807e-220;;;-19.9832;3.77807e-220;3.77807e-220;;;-6914.53;3.77807e-220;3.77807e-220
05/07/2023 16:48:34:325;346.04;4.02153e-221;4.02153e-221;;;-19.983;4.02153e-221;4.02153e-221;;;-6914.49;4.02153e-221;4.02153e-221
05/07/2023 16:48:34:329;346.04;1.50598e-307;1.50598e-307;;;-19.983;1.50598e-307;1.50598e-307;;;-6914.49;1.50598e-307;1.50598e-307
05/07/2023 16:48:35:342;346.045;1.50585e-307;1.50585e-307;;;-19.9824;1.50585e-307;1.50585e-307;;;-6914.39;1.50585e-307;1.50585e-307
05/07/2023 16:48:35:344;346.045;6.39574e-279;6.39574e-279;;;-19.9824;6.39574e-279;6.39574e-279;;;-6914.39;6.39574e-279;6.39574e-279
05/07/2023 16:48:36:344;346.051;2.29391e-278;2.29391e-278;;;-19.9828;2.29391e-278;2.29391e-278;;;-6914.63;2.29391e-278;2.29391e-278
05/07/2023 16:48:36:348;346.051;5.95503e-279;5.95503e-279;;;-19.9828;5.95503e-279;5.95503e-279;;;-6914.63;5.95503e-279;5.95503e-279
05/07/2023 16:48:37:394;346.056;5.29398e-279;5.29398e-279;;;-19.9825;5.29398e-279;5.29398e-279;;;-6914.63;5.29398e-279;5.29398e-279
05/07/2023 16:48:37:400;346.056;1.85316e-278;1.85316e-278;;;-19.9825;1.85316e-278;1.85316e-278;;;-6914.63;1.85316e-278;1.85316e-278
05/07/2023 16:48:38:401;346.061;1.10288e-278;1.10288e-278;;;-19.9833;1.10288e-278;1.10288e-278;;;-6914.96;1.10288e-278;1.10288e-278
05/07/2023 16:48:38:404;346.061;1.50326e-307;1.50326e-307;;;-19.9833;1.50326e-307;1.50326e-307;;;-6914.96;1.50326e-307;1.50326e-307
05/07/2023 16:48:39:417;346.066;1.50327e-307;1.50327e-307;;;-19.9834;1.50327e-307;1.50327e-307;;;-6915.06;1.50327e-307;1.50327e-307
05/07/2023 16:48:39:421;346.066;1.45371e-282;1.45371e-282;;;-19.9834;1.45371e-282;1.45371e-282;;;-6915.06;1.45371e-282;1.45371e-282
05/07/2023 16:48:40:420;346.072;3.44767e-282;3.44767e-282;;;-19.9855;3.44767e-282;3.44767e-282;;;-6915.83;3.44767e-282;3.44767e-282
05/07/2023 16:48:40:421;346.072;2.36944e-282;2.36944e-282;;;-19.9855;2.36944e-282;2.36944e-282;;;-6915.83;2.36944e-282;2.36944e-282
05/07/2023 16:48:41:453;346.075;9.6953e-283;9.6953e-283;;;-19.9848;9.6953e-283;9.6953e-283;;;-6915.75;9.6953e-283;9.6953e-283
05/07/2023 16:48:41:457;346.075;1.45371e-282;1.45371e-282;;;-19.9848;1.45371e-282;1.45371e-282;;;-6915.75;1.45371e-282;1.45371e-282
05/07/2023 16:48:42:457;346.082;9.15731e-283;9.15731e-283;;;-19.9851;9.15731e-283;9.15731e-283;;;-6915.97;9.15731e-283;9.15731e-283
05/07/2023 16:48:42:460;346.082;4.30845e-282;4.30845e-282;;;-19.9851;4.30845e-282;4.30845e-282;;;-6915.97;4.30845e-282;4.30845e-282
05/07/2023 16:48:43:493;346.087;2.58465e-282;2.58465e-282;;;-19.9843;2.58465e-282;2.58465e-282;;;-6915.77;2.58465e-282;2.58465e-282
05/07/2023 16:48:43:497;346.087;1.45371e-282;1.45371e-282;;;-19.9843;1.45371e-282;1.45371e-282;;;-6915.77;1.45371e-282;1.45371e-282
05/07/2023 16:48:44:505;346.093;9.69512e-283;9.69512e-283;;;-19.9832;9.69512e-283;9.69512e-283;;;-6915.41;9.69512e-283;9.69512e-283
05/07/2023 16:48:44:506;346.093;9.15714e-283;9.15714e-283;;;-19.9832;9.15714e-283;9.15714e-283;;;-6915.41;9.15714e-283;9.15714e-283
05/07/2023 16:48:45:528;346.096;1.5031e-307;1.5031e-307;;;-19.9841;1.5031e-307;1.5031e-307;;;-6915.84;1.5031e-307;1.5031e-307
05/07/2023 16:48:45:532;346.096;1.50307e-307;1.50307e-307;;;-19.9841;1.50307e-307;1.50307e-307;;;-6915.84;1.50307e-307;1.50307e-307
05/07/2023 16:48:46:535;346.1;1.46323e-261;1.46323e-261;;;-19.9851;1.46323e-261;1.46323e-261;;;-6916.34;1.46323e-261;1.46323e-261
05/07/2023 16:48:46:538;346.1;1.98783e-262;1.98783e-262;;;-19.9851;1.98783e-262;1.98783e-262;;;-6916.34;1.98783e-262;1.98783e-262
05/07/2023 16:48:47:569;346.107;1.50402e-307;1.50402e-307;;;-19.9832;1.50402e-307;1.50402e-307;;;-6915.78;1.50402e-307;1.50402e-307
05/07/2023 16:48:47:575;346.107;1.8443e-261;1.8443e-261;;;-19.9832;1.8443e-261;1.8443e-261;;;-6915.78;1.8443e-261;1.8443e-261
05/07/2023 16:48:48:584;346.109;1.46323e-261;1.46323e-261;;;-19.9834;1.46323e-261;1.46323e-261;;;-6915.88;1.46323e-261;1.46323e-261
05/07/2023 16:48:48:586;346.109;4.76967e-262;4.76967e-262;;;-19.9834;4.76967e-262;4.76967e-262;;;-6915.88;4.76967e-262;4.76967e-262
05/07/2023 16:48:49:634;346.114;1.82909e-262;1.82909e-262;;;-19.9844;1.82909e-262;1.82909e-262;;;-6916.29;1.82909e-262;1.82909e-262
05/07/2023 16:48:49:637;346.114;3.65814e-262;3.65814e-262;;;-19.9844;3.65814e-262;3.65814e-262;;;-6916.29;3.65814e-262;3.65814e-262
05/07/2023 16:48:50:793;346.119;7.63382e-262;7.63382e-262;;;-19.9844;7.63382e-262;7.63382e-262;;;-6916.4;7.63382e-262;7.63382e-262
05/07/2023 16:48:50:798;346.119;1.50408e-307;1.50408e-307;;;-19.9844;1.50408e-307;1.50408e-307;;;-6916.4;1.50408e-307;1.50408e-307
05/07/2023 16:48:51:641;346.123;8.14921e-261;8.14921e-261;;;-19.9844;8.14921e-261;8.14921e-261;;;-6916.5;8.14921e-261;8.14921e-261
05/07/2023 16:48:51:644;346.123;1.50408e-307;1.50408e-307;;;-19.9844;1.50408e-307;1.50408e-307;;;-6916.5;1.50408e-307;1.50408e-307
05/07/2023 16:48:52:644;346.128;1.50403e-307;1.50403e-307;;;-19.9845;1.50403e-307;1.50403e-307;;;-6916.64;1.50403e-307;1.50403e-307
05/07/2023 16:48:52:648;346.128;8.34431e-308;8.34431e-308;;;-19.9845;8.34431e-308;8.34431e-308;;;-6916.64;8.34431e-308;8.34431e-308
05/07/2023 16:48:53:661;346.131;8.34487e-308;8.34487e-308;;;-19.9828;8.34487e-308;8.34487e-308;;;-6916.16;8.34487e-308;8.34487e-308
