Datetime;Iset;Igrid;Vgrid;Icharger;Vcharger
30/06/2023 11:57;0.0;1.2;229.4;0.1;347.1
30/06/2023 11:57;0.0;2.5;229.5;0.1;347.1
30/06/2023 11:57;0.0;0.3;229.4;0.1;347.1
30/06/2023 11:57;0.0;0.3;229.4;0.1;347.1
30/06/2023 11:57;0.0;0.3;229.4;0.1;347.1
30/06/2023 11:57;0.0;0.3;229.5;0.1;347.1
30/06/2023 11:57;0.0;0.3;229.4;0.1;347.1
30/06/2023 11:57;0.0;0.3;229.3;0.1;347.1
30/06/2023 11:57;0.0;0.3;229.3;0.1;347.1
30/06/2023 11:57;0.0;0.3;229.4;0.1;347.1
30/06/2023 11:57;0.0;0.3;229.3;0.1;347.1
30/06/2023 11:57;0.0;0.3;229.3;0.1;347.1
30/06/2023 11:57;0.0;0.3;229.5;0.1;346.9
30/06/2023 11:58;0.0;0.3;229.5;0.1;347.1
30/06/2023 11:58;0.0;0.3;229.5;0.1;347.1
30/06/2023 11:58;0.0;0.3;229.5;0.1;347.1
30/06/2023 11:58;0.0;0.3;229.5;0.1;347.1
30/06/2023 11:58;0.0;0.3;229.5;0.1;347.1
30/06/2023 11:58;20.0;0.3;229.5;0.1;347.1
30/06/2023 11:58;20.0;10.4;228.1;20.1;348.2
30/06/2023 11:58;20.0;10.4;228.0;20.2;348.2
30/06/2023 11:58;13.02;10.4;228.1;20.2;348.2
30/06/2023 11:58;14.21;6.8;228.7;13.1;347.7
30/06/2023 11:58;15.54;7.4;228.6;14.3;347.7
30/06/2023 11:58;6.0;8.1;228.4;15.7;348.1
30/06/2023 11:58;6.0;3.2;229.1;6.0;347.5
30/06/2023 11:58;6.0;3.2;229.1;6.0;347.5
30/06/2023 11:58;6.0;3.2;229.2;6.0;347.5
30/06/2023 11:58;6.0;3.2;229.1;6.0;347.5
30/06/2023 11:58;6.0;3.2;229.1;6.0;347.5
30/06/2023 11:58;6.0;3.2;229.2;6.0;347.5
30/06/2023 11:58;6.0;3.2;229.1;6.0;347.5
30/06/2023 11:58;6.0;3.2;229.0;6.0;347.3
30/06/2023 11:58;6.0;3.2;228.8;6.0;347.5
30/06/2023 11:58;6.0;3.2;228.8;6.0;347.5
30/06/2023 11:58;6.0;3.2;229.0;6.0;347.5
30/06/2023 11:59;6.0;3.2;229.0;6.0;347.5
30/06/2023 11:59;6.0;3.2;229.2;6.1;347.5
30/06/2023 11:59;6.0;3.2;229.2;6.0;347.5
30/06/2023 11:59;6.0;3.2;229.1;6.0;347.5
30/06/2023 11:59;6.0;3.2;229.1;6.0;347.5
30/06/2023 11:59;6.0;3.2;229.2;6.0;347.5
30/06/2023 11:59;6.0;3.2;229.1;6.0;347.5
30/06/2023 11:59;6.0;3.2;229.2;6.0;347.5
30/06/2023 11:59;6.0;3.2;229.2;6.0;347.5
30/06/2023 11:59;6.0;3.2;229.3;6.0;347.7
30/06/2023 11:59;6.0;3.2;229.1;6.0;347.5
30/06/2023 11:59;6.0;3.2;229.2;6.0;347.5
30/06/2023 11:59;6.0;3.2;229.4;6.1;347.5
30/06/2023 11:59;6.0;3.2;229.3;6.0;347.5
30/06/2023 11:59;6.0;3.2;229.3;6.0;347.5
30/06/2023 11:59;6.0;3.2;229.3;6.0;347.5
30/06/2023 11:59;6.0;3.2;229.3;6.0;347.7
30/06/2023 11:59;6.0;3.2;229.5;6.0;347.5
30/06/2023 11:59;6.0;3.2;229.6;6.0;347.5
30/06/2023 11:59;6.0;3.2;229.6;6.0;347.5
30/06/2023 11:59;6.0;3.2;229.7;6.0;347.5
30/06/2023 11:59;6.0;3.2;229.7;6.1;347.7
30/06/2023 11:59;6.0;3.2;229.6;6.0;347.7
30/06/2023 12:00;6.0;3.2;229.6;6.0;347.5
30/06/2023 12:00;10.69;3.2;229.6;6.0;347.5
30/06/2023 12:00;11.43;5.5;229.2;10.7;347.7
30/06/2023 12:00;12.98;5.9;229.2;11.5;347.9
30/06/2023 12:00;9.88;6.7;229.2;13.0;347.9
30/06/2023 12:00;9.14;5.1;229.5;9.8;347.9
30/06/2023 12:00;13.92;4.7;229.8;9.1;347.7
30/06/2023 12:00;14.11;7.2;229.4;14.0;348.1
30/06/2023 12:00;14.75;7.3;229.6;14.2;348.1
30/06/2023 12:00;11.06;7.6;229.6;14.9;348.1
30/06/2023 12:00;9.29;5.7;229.9;11.1;347.9
30/06/2023 12:00;15.41;4.8;230.0;9.2;347.7
30/06/2023 12:00;14.62;8.0;229.6;15.5;348.2
30/06/2023 12:00;20.0;7.6;229.6;14.7;348.1
30/06/2023 12:00;19.55;10.4;229.2;20.2;348.4
30/06/2023 12:00;20.0;10.1;229.2;19.7;348.4
30/06/2023 12:00;20.0;10.4;229.2;20.1;348.4
30/06/2023 12:00;19.95;10.4;229.5;20.1;348.4
30/06/2023 12:00;20.0;10.3;229.6;20.1;348.6
30/06/2023 12:00;20.0;10.4;229.6;20.2;348.6
30/06/2023 12:00;20.0;10.4;229.6;20.2;348.4
30/06/2023 12:00;20.0;10.4;229.6;20.2;348.4
30/06/2023 12:00;20.0;10.4;229.5;20.2;348.4
30/06/2023 12:01;20.0;10.4;229.5;20.2;348.6
30/06/2023 12:01;20.0;10.4;229.7;20.2;348.4
30/06/2023 12:01;20.0;10.4;229.7;20.2;348.4
30/06/2023 12:01;20.0;10.4;229.8;20.1;348.4
30/06/2023 12:01;14.97;10.4;229.7;20.2;348.6
30/06/2023 12:01;19.72;7.7;230.2;15.1;348.2
30/06/2023 12:01;20.0;10.2;229.8;20.0;348.6
30/06/2023 12:01;20.0;10.4;229.7;20.2;348.6
30/06/2023 12:01;19.93;10.4;229.7;20.2;348.6
30/06/2023 12:01;20.0;10.3;229.6;20.1;348.6
30/06/2023 12:01;20.0;10.4;229.7;20.2;348.6
30/06/2023 12:01;20.0;10.4;229.7;20.2;348.4
30/06/2023 12:01;19.45;10.4;229.7;20.2;348.6
30/06/2023 12:01;18.29;10.1;229.7;19.5;348.4
30/06/2023 12:01;20.0;9.4;229.9;18.3;348.4
30/06/2023 12:01;18.83;10.4;229.8;20.2;348.6
30/06/2023 12:01;20.0;9.7;229.9;19.0;348.6
30/06/2023 12:01;20.0;10.4;229.9;20.2;348.6
30/06/2023 12:01;20.0;10.4;229.9;20.2;348.4
30/06/2023 12:01;20.0;10.4;229.9;20.2;348.8
30/06/2023 12:01;15.12;10.4;229.8;20.2;348.6
30/06/2023 12:01;16.82;7.8;230.4;15.3;348.4
30/06/2023 12:02;20.0;8.7;230.3;17.0;348.4
30/06/2023 12:02;20.0;10.4;230.1;20.2;348.6
30/06/2023 12:02;20.0;10.3;230.1;20.1;348.6
30/06/2023 12:02;19.14;10.4;229.9;20.2;348.8
30/06/2023 12:02;8.66;9.9;229.8;19.3;348.8
30/06/2023 12:02;8.8;4.5;230.6;8.6;348.2
30/06/2023 12:02;8.97;4.6;230.6;8.8;348.1
30/06/2023 12:02;8.09;4.6;230.6;8.9;348.1
30/06/2023 12:02;7.98;4.2;230.7;8.0;348.1
30/06/2023 12:02;8.16;4.1;230.7;7.9;348.1
30/06/2023 12:02;8.08;4.2;230.6;8.2;348.2
30/06/2023 12:02;8.22;4.1;230.7;8.0;348.2
30/06/2023 12:02;8.09;4.2;230.7;8.2;348.1
30/06/2023 12:02;7.98;4.2;230.9;8.1;348.2
30/06/2023 12:02;6.87;4.1;230.8;8.0;348.1
30/06/2023 12:02;6.03;3.5;230.9;6.8;348.2
30/06/2023 12:02;6.0;3.1;231.1;6.1;348.1
30/06/2023 12:02;6.0;3.1;231.0;6.0;347.9
30/06/2023 12:02;6.0;3.1;231.0;6.0;348.2
30/06/2023 12:03;6.0;3.1;230.9;6.0;348.2
30/06/2023 12:03;6.0;3.1;230.8;6.1;348.1
30/06/2023 12:03;6.0;3.1;230.7;6.0;348.1
30/06/2023 12:03;11.61;3.1;230.7;6.1;348.1
30/06/2023 12:03;14.09;6.0;230.4;11.6;348.4
30/06/2023 12:03;16.22;7.3;230.2;14.1;348.2
30/06/2023 12:03;20.0;8.4;230.0;16.4;348.6
30/06/2023 12:03;20.0;10.4;229.7;20.3;348.8
30/06/2023 12:03;20.0;10.4;229.7;20.2;348.8
30/06/2023 12:03;0.0;10.4;229.8;20.2;348.8
30/06/2023 12:03;0.0;0.3;231.2;0.1;347.7
30/06/2023 12:03;0.0;0.4;231.2;0.1;347.9
30/06/2023 12:03;0.0;0.3;231.2;0.1;347.9
30/06/2023 12:03;0.0;0.3;231.3;0.1;347.9
30/06/2023 12:03;0.0;0.3;231.2;0.1;347.9
30/06/2023 12:03;0.0;0.3;231.2;0.1;347.9
30/06/2023 12:03;0.0;0.3;231.0;0.1;347.9
30/06/2023 12:03;0.0;0.3;231.0;0.1;347.7
30/06/2023 12:03;0.0;0.3;231.1;0.1;347.9
30/06/2023 12:03;0.0;0.3;231.2;0.1;347.9
30/06/2023 12:03;0.0;0.3;231.3;0.1;347.9
