Unnamed: 0,Datetime,Iset,Igrid,Vgrid,Icharger,Vcharger
,2023-06-30 12:36:34,0.0,1.2,232.2,0.1,347.1
,2023-06-30 12:36:37,0.0,2.5,232.3,0.1,347.1
,2023-06-30 12:36:39,0.0,0.3,232.1,0.1,347.1
,2023-06-30 12:36:41,0.0,0.3,232.2,0.1,347.1
,2023-06-30 12:36:43,0.0,0.3,232.1,0.1,347.1
,2023-06-30 12:36:46,0.0,0.3,232.1,0.1,347.1
,2023-06-30 12:36:48,0.0,0.3,232.1,0.1,347.1
,2023-06-30 12:36:50,0.0,0.3,232.0,0.1,347.1
,2023-06-30 12:36:52,0.0,0.3,231.9,0.1,347.1
,2023-06-30 12:36:55,0.0,0.3,231.6,0.1,347.1
,2023-06-30 12:36:57,0.0,0.3,231.5,0.1,347.1
,2023-06-30 12:36:59,0.0,0.3,231.6,0.1,347.1
,2023-06-30 12:37:01,0.0,0.3,231.6,0.1,347.1
,2023-06-30 12:37:04,0.0,0.3,231.7,0.1,347.1
,2023-06-30 12:37:06,0.0,0.3,231.9,0.1,347.1
,2023-06-30 12:37:08,0.0,0.3,231.9,0.1,347.1
,2023-06-30 12:37:10,0.0,0.3,231.7,0.1,347.1
,2023-06-30 12:37:12,0.0,0.3,231.6,0.1,347.1
,2023-06-30 12:37:15,0.0,0.3,231.5,0.1,347.1
,2023-06-30 12:37:17,0.0,0.3,231.6,0.1,347.1
,2023-06-30 12:37:19,0.0,0.3,231.5,0.1,347.1
,2023-06-30 12:37:24,6.0,0.3,231.7,0.1,347.1
,2023-06-30 12:37:28,6.0,3.1,231.4,6.0,347.5
,2023-06-30 12:37:32,6.0,3.1,230.9,6.0,347.7
,2023-06-30 12:37:35,6.0,3.1,230.9,6.1,347.5
,2023-06-30 12:37:39,6.0,3.1,231.6,6.0,347.3
,2023-06-30 12:37:43,6.0,3.1,231.5,6.1,347.5
,2023-06-30 12:37:47,6.0,3.1,231.4,6.0,347.5
,2023-06-30 12:37:51,6.0,3.1,231.6,6.0,347.5
,2023-06-30 12:37:55,6.0,3.1,231.7,6.0,347.5
,2023-06-30 12:38:00,6.0,3.1,232.0,6.0,347.5
,2023-06-30 12:38:05,6.0,3.1,231.9,6.0,347.5
,2023-06-30 12:38:10,6.0,3.1,232.2,6.0,347.7
,2023-06-30 12:38:15,6.0,3.1,232.1,6.0,347.5
,2023-06-30 12:38:20,6.0,3.1,232.1,6.0,347.5
,2023-06-30 12:38:25,6.0,3.1,232.0,6.0,347.5
,2023-06-30 12:38:30,20.0,3.1,231.9,6.0,347.5
,2023-06-30 12:38:35,6.0,10.3,230.8,20.2,348.2
,2023-06-30 12:38:40,20.0,3.1,231.5,6.1,347.5
,2023-06-30 12:38:44,20.0,10.3,230.3,20.2,348.2
,2023-06-30 12:38:49,20.0,10.3,230.2,20.2,348.4
,2023-06-30 12:38:53,20.0,10.3,230.1,20.2,348.2
,2023-06-30 12:38:58,20.0,10.3,230.4,20.1,348.4
,2023-06-30 12:39:02,20.0,10.3,230.6,20.2,348.4
,2023-06-30 12:39:07,20.0,10.3,230.6,20.2,348.4
,2023-06-30 12:39:11,20.0,10.3,230.4,20.2,348.4
,2023-06-30 12:39:15,20.0,10.3,230.0,20.2,348.2
,2023-06-30 12:39:20,20.0,10.4,229.7,20.3,348.4
,2023-06-30 12:39:24,20.0,10.4,229.9,20.2,348.6
,2023-06-30 12:39:29,20.0,10.4,229.6,20.2,348.4
,2023-06-30 12:39:33,20.0,10.4,229.7,20.2,348.4
,2023-06-30 12:39:38,20.0,10.4,229.6,20.2,348.4
,2023-06-30 12:39:42,20.0,10.4,229.6,20.2,348.6
,2023-06-30 12:39:46,20.0,10.4,230.0,20.1,348.6
,2023-06-30 12:39:50,20.0,10.4,229.8,20.2,348.6
,2023-06-30 12:39:54,20.0,10.4,229.9,20.2,348.4
,2023-06-30 12:39:58,20.0,10.4,230.0,20.2,348.6
,2023-06-30 12:40:03,20.0,10.4,230.0,20.2,348.6
,2023-06-30 12:40:07,20.0,10.4,230.1,20.3,348.6
,2023-06-30 12:40:11,20.0,10.4,230.1,20.2,348.8
,2023-06-30 12:40:14,20.0,10.4,229.9,20.2,348.6
,2023-06-30 12:40:18,20.0,10.4,229.9,20.2,348.6
,2023-06-30 12:40:22,20.0,10.4,229.8,20.2,348.6
,2023-06-30 12:40:25,20.0,10.3,230.2,20.2,348.6
,2023-06-30 12:40:29,20.0,10.4,230.3,20.2,348.6
,2023-06-30 12:40:33,20.0,10.3,230.5,20.1,348.6
,2023-06-30 12:40:37,20.0,10.3,230.3,20.2,348.8
,2023-06-30 12:40:41,20.0,10.3,230.1,20.2,348.6
,2023-06-30 12:40:44,20.0,10.4,230.0,20.2,348.8
,2023-06-30 12:40:48,20.0,10.4,229.8,20.2,348.6
,2023-06-30 12:40:51,20.0,10.4,229.8,20.1,348.8
,2023-06-30 12:40:54,20.0,10.4,229.7,20.2,348.8
,2023-06-30 12:40:58,20.0,10.4,230.0,20.1,348.8
,2023-06-30 12:41:01,20.0,10.4,229.9,20.2,348.8
,2023-06-30 12:41:04,20.0,10.4,229.7,20.2,348.8
,2023-06-30 12:41:08,20.0,10.4,229.7,20.3,348.8
,2023-06-30 12:41:11,20.0,10.4,229.6,20.2,348.8
,2023-06-30 12:41:15,20.0,10.4,229.7,20.2,348.8
,2023-06-30 12:41:18,20.0,10.4,229.9,20.1,348.6
,2023-06-30 12:41:22,20.0,10.4,229.9,20.1,348.8
,2023-06-30 12:41:25,20.0,10.4,230.0,20.2,348.8
,2023-06-30 12:41:28,20.0,10.4,229.8,20.2,348.6
,2023-06-30 12:41:32,20.0,10.4,230.0,20.2,348.8
,2023-06-30 12:41:35,20.0,10.4,229.9,20.2,348.8
,2023-06-30 12:41:50,20.0,10.4,228.5,20.2,348.8
,2023-06-30 12:41:54,20.0,10.4,228.8,20.2,349.0
,2023-06-30 12:41:57,20.0,10.4,228.8,20.2,349.0
,2023-06-30 12:42:01,20.0,10.4,228.7,20.2,349.0
,2023-06-30 12:42:04,20.0,10.4,229.4,20.3,348.8
,2023-06-30 12:42:07,20.0,10.4,229.6,20.3,348.8
,2023-06-30 12:42:11,20.0,10.4,229.6,20.2,349.0
,2023-06-30 12:42:14,20.0,10.4,229.8,20.2,349.0
,2023-06-30 12:42:17,20.0,10.4,229.7,20.2,349.0
,2023-06-30 12:42:21,20.0,10.4,229.8,20.2,349.0
,2023-06-30 12:42:24,20.0,10.4,229.8,20.2,349.0
,2023-06-30 12:42:27,20.0,10.4,229.7,20.3,349.0
,2023-06-30 12:42:31,6.8,10.4,229.6,20.2,349.2
,2023-06-30 12:42:34,6.0,3.6,230.6,6.8,348.2
,2023-06-30 12:42:38,6.0,3.2,231.0,6.0,348.2
,2023-06-30 12:42:41,0.0,3.1,231.1,6.0,348.2
,2023-06-30 12:42:44,0.0,0.3,231.4,0.1,348.1
,2023-06-30 12:42:47,0.0,0.3,231.5,0.1,347.9
,2023-06-30 12:42:49,0.0,0.4,231.5,0.1,347.9
,2023-06-30 12:42:52,0.0,0.3,231.0,0.1,347.9
,2023-06-30 12:42:55,0.0,0.3,230.9,0.1,347.9
,2023-06-30 12:42:57,0.0,0.3,230.9,0.1,347.9
,2023-06-30 12:43:00,0.0,0.3,230.8,0.1,348.1
,2023-06-30 12:43:03,0.0,0.3,230.7,0.1,348.1
,2023-06-30 12:43:05,0.0,0.3,230.6,0.1,348.1
,2023-06-30 12:43:08,0.0,0.3,231.2,0.1,347.9
,2023-06-30 12:43:11,0.0,0.3,231.2,0.1,348.1
,2023-06-30 12:43:13,0.0,0.3,231.1,0.1,347.9
,2023-06-30 12:43:16,0.0,0.3,231.2,0.1,347.9
,2023-06-30 12:43:19,0.0,0.3,231.2,0.1,347.9
,2023-06-30 12:43:21,0.0,0.3,231.3,0.1,348.1
,2023-06-30 12:43:24,0.0,0.3,230.9,0.1,347.9
,2023-06-30 12:43:27,0.0,0.3,230.8,0.1,348.1
,2023-06-30 12:43:29,0.0,0.3,230.8,0.1,348.1
,2023-06-30 12:43:32,0.0,0.3,230.7,0.1,348.1
,2023-06-30 12:43:35,0.0,0.3,230.5,0.1,348.1
,2023-06-30 12:43:37,0.0,0.3,230.3,0.1,347.9
,2023-06-30 12:43:40,0.0,0.3,230.2,0.1,348.1
,2023-06-30 12:43:42,0.0,0.3,230.0,0.1,347.9
,2023-06-30 12:43:45,0.0,0.3,230.0,0.1,347.9
,2023-06-30 12:43:48,0.0,0.3,230.0,0.1,347.9
,2023-06-30 12:43:50,0.0,0.3,230.1,0.1,347.9
,2023-06-30 12:43:53,0.0,0.3,230.0,0.1,348.1
,2023-06-30 12:43:55,0.0,0.3,230.4,0.1,347.9
,2023-06-30 12:43:58,0.0,0.3,230.2,0.1,347.9
,2023-06-30 12:44:00,0.0,0.3,230.8,0.1,348.1
,2023-06-30 12:44:02,0.0,0.3,230.8,0.1,347.9
,2023-06-30 12:44:04,0.0,0.3,230.9,0.1,348.1
,2023-06-30 12:44:07,0.0,0.3,230.7,0.1,347.9
,2023-06-30 12:44:09,0.0,0.3,230.4,0.1,348.1
,2023-06-30 12:44:11,0.0,0.3,230.2,0.1,347.9
,2023-06-30 12:44:13,0.0,0.3,229.9,0.1,347.9
,2023-06-30 12:44:16,0.0,0.3,230.7,0.1,347.9
,2023-06-30 12:44:18,0.0,0.3,230.6,0.1,347.9
,2023-06-30 12:44:20,0.0,0.3,230.8,0.1,347.9
,2023-06-30 12:44:22,0.0,0.3,230.9,0.1,348.1
,2023-06-30 12:44:24,0.0,0.3,230.9,0.1,347.9
,2023-06-30 12:44:27,0.0,0.3,230.9,0.1,347.9
,2023-06-30 12:44:29,0.0,0.3,231.2,0.1,347.9
,2023-06-30 12:44:31,0.0,0.3,231.3,0.1,348.1
