Time,Voltage [U],Voltage [V],Voltage [W],,,Current [U],Current [V],Current [W],,,Power [U],Power [V],Power [W]
29/06/2023 16:07:00:861,345.998,0,0,,,0.0891072,0,0,,,30.8404,0,0
29/06/2023 16:07:01:834,345.998,0,0,,,0.0894797,0,0,,,30.9441,0,0
29/06/2023 16:07:02:914,345.997,0,0,,,0.0894476,0,0,,,30.9424,0,0
29/06/2023 16:07:03:894,345.996,0,0,,,0.0880726,0,0,,,30.4614,0,0
29/06/2023 16:07:05:069,345.998,0,0,,,0.0885312,0,0,,,30.5716,0,0
29/06/2023 16:07:06:273,345.997,0,0,,,0.0891615,0,0,,,30.8698,0,0
29/06/2023 16:07:07:573,345.997,0,0,,,0.0888985,0,0,,,30.7944,0,0
29/06/2023 16:07:08:589,345.998,0,0,,,0.0892215,0,0,,,30.6184,0,0
29/06/2023 16:07:09:615,345.997,0,0,,,0.0891237,0,0,,,30.8325,0,0
29/06/2023 16:07:10:838,345.998,0,0,,,0.0879177,0,0,,,30.3884,0,0
29/06/2023 16:07:11:829,345.998,7.6116e-311,7.6116e-311,,,0.0891306,7.6116e-311,7.6116e-311,,,30.8179,7.6116e-311,7.6116e-311
29/06/2023 16:07:12:880,345.997,7.62009e-311,7.62009e-311,,,0.087764,7.62009e-311,7.62009e-311,,,30.3515,7.62009e-311,7.62009e-311
29/06/2023 16:07:13:989,345.997,7.62857e-311,7.62857e-311,,,0.0857642,7.62857e-311,7.62857e-311,,,29.6572,7.62857e-311,7.62857e-311
29/06/2023 16:07:14:901,345.997,7.63706e-311,7.63706e-311,,,0.0886158,7.63706e-311,7.63706e-311,,,30.6429,7.63706e-311,7.63706e-311
29/06/2023 16:07:16:332,345.998,7.64555e-311,7.64555e-311,,,0.0889529,7.64555e-311,7.64555e-311,,,30.7439,7.64555e-311,7.64555e-311
29/06/2023 16:07:17:107,345.996,7.65404e-311,7.65404e-311,,,0.0884366,7.65404e-311,7.65404e-311,,,30.6469,7.65404e-311,7.65404e-311
29/06/2023 16:07:18:165,345.998,7.66253e-311,7.66253e-311,,,0.0882249,7.66253e-311,7.66253e-311,,,30.6203,7.66253e-311,7.66253e-311
29/06/2023 16:07:18:996,345.998,7.67101e-311,7.67101e-311,,,0.0880394,7.67101e-311,7.67101e-311,,,30.5059,7.67101e-311,7.67101e-311
29/06/2023 16:07:20:236,345.997,7.6795e-311,7.6795e-311,,,0.087762,7.6795e-311,7.6795e-311,,,30.3925,7.6795e-311,7.6795e-311
29/06/2023 16:07:21:233,345.996,7.68799e-311,7.68799e-311,,,0.0886935,7.68799e-311,7.68799e-311,,,30.6795,7.68799e-311,7.68799e-311
29/06/2023 16:07:22:259,345.996,7.69648e-311,7.69648e-311,,,0.0879435,7.69648e-311,7.69648e-311,,,30.4087,7.69648e-311,7.69648e-311
29/06/2023 16:07:23:075,345.998,7.70497e-311,7.70497e-311,,,0.0878549,7.70497e-311,7.70497e-311,,,30.3892,7.70497e-311,7.70497e-311
29/06/2023 16:07:24:477,345.996,7.71345e-311,7.71345e-311,,,0.0859836,7.71345e-311,7.71345e-311,,,29.7658,7.71345e-311,7.71345e-311
29/06/2023 16:07:25:280,345.997,7.72194e-311,7.72194e-311,,,0.087617,7.72194e-311,7.72194e-311,,,30.563,7.72194e-311,7.72194e-311
29/06/2023 16:07:26:496,345.996,1.79939e-320,1.79939e-320,,,0.0889586,1.79939e-320,1.79939e-320,,,30.7754,1.79939e-320,1.79939e-320
29/06/2023 16:07:27:308,345.997,7.73892e-311,7.73892e-311,,,0.0870554,7.73892e-311,7.73892e-311,,,30.1231,7.73892e-311,7.73892e-311
29/06/2023 16:07:28:325,345.998,7.74741e-311,7.74741e-311,,,0.0882041,7.74741e-311,7.74741e-311,,,30.5386,7.74741e-311,7.74741e-311
29/06/2023 16:07:29:155,345.997,7.75589e-311,7.75589e-311,,,0.0877385,7.75589e-311,7.75589e-311,,,30.3902,7.75589e-311,7.75589e-311
29/06/2023 16:07:30:588,345.998,7.76438e-311,7.76438e-311,,,0.0886686,7.76438e-311,7.76438e-311,,,30.7414,7.76438e-311,7.76438e-311
29/06/2023 16:07:31:579,345.997,7.77287e-311,7.77287e-311,,,0.0884177,7.77287e-311,7.77287e-311,,,30.5993,7.77287e-311,7.77287e-311
29/06/2023 16:07:32:602,345.998,7.78136e-311,7.78136e-311,,,0.0890299,7.78136e-311,7.78136e-311,,,30.816,7.78136e-311,7.78136e-311
29/06/2023 16:07:33:638,345.997,7.78985e-311,7.78985e-311,,,0.0888082,7.78985e-311,7.78985e-311,,,30.7542,7.78985e-311,7.78985e-311
29/06/2023 16:07:34:630,345.996,7.79833e-311,7.79833e-311,,,0.088725,7.79833e-311,7.79833e-311,,,30.6677,7.79833e-311,7.79833e-311
29/06/2023 16:07:35:653,345.997,0,0,,,0.0887716,0,0,,,30.6738,0,0
29/06/2023 16:07:37:088,345.996,1.78715e+161,1.78715e+161,,,0.0882777,1.78715e+161,1.78715e+161,,,30.5563,1.78715e+161,1.78715e+161
29/06/2023 16:07:37:697,345.996,0,0,,,0.0874779,0,0,,,30.3225,0,0
29/06/2023 16:07:38:918,345.997,1.9098e-313,1.9098e-313,,,0.0886378,1.9098e-313,1.9098e-313,,,30.7029,1.9098e-313,1.9098e-313
29/06/2023 16:07:39:732,345.997,2.8707e-306,2.8707e-306,,,0.0876085,2.8707e-306,2.8707e-306,,,30.3424,2.8707e-306,2.8707e-306
29/06/2023 16:07:41:125,345.997,4.72853e-307,4.72853e-307,,,0.0888574,4.72853e-307,4.72853e-307,,,30.8112,4.72853e-307,4.72853e-307
29/06/2023 16:07:41:943,345.997,2.36475e-308,2.36475e-308,,,0.0878416,2.36475e-308,2.36475e-308,,,30.3977,2.36475e-308,2.36475e-308
29/06/2023 16:07:42:967,345.996,4.72828e-307,4.72828e-307,,,0.0882941,4.72828e-307,4.72828e-307,,,30.5177,4.72828e-307,4.72828e-307
29/06/2023 16:07:43:976,345.996,8.285e-317,8.285e-317,,,0.08636,8.285e-317,8.285e-317,,,29.8501,8.285e-317,8.285e-317
29/06/2023 16:07:45:006,345.997,0,0,,,0.0867539,0,0,,,30.0341,0,0
29/06/2023 16:07:46:007,345.997,0,0,,,0.088875,0,0,,,30.7845,0,0
29/06/2023 16:07:47:224,345.997,1.50202e-307,1.50202e-307,,,0.0857708,1.50202e-307,1.50202e-307,,,29.73,1.50202e-307,1.50202e-307
29/06/2023 16:07:48:026,345.998,1.50201e-307,1.50201e-307,,,0.0892213,1.50201e-307,1.50201e-307,,,30.9509,1.50201e-307,1.50201e-307
29/06/2023 16:07:49:076,345.997,1.50201e-307,1.50201e-307,,,0.0873569,1.50201e-307,1.50201e-307,,,30.1837,1.50201e-307,1.50201e-307
29/06/2023 16:07:50:059,345.997,8.90104e-307,8.90104e-307,,,0.0857729,8.90104e-307,8.90104e-307,,,29.7066,8.90104e-307,8.90104e-307
29/06/2023 16:07:51:108,345.997,7.56593e-307,7.56593e-307,,,0.0888111,7.56593e-307,7.56593e-307,,,30.7195,7.56593e-307,7.56593e-307
29/06/2023 16:07:51:921,345.996,7.56593e-307,7.56593e-307,,,0.0887416,7.56593e-307,7.56593e-307,,,30.6975,7.56593e-307,7.56593e-307
29/06/2023 16:07:53:134,345.995,1.69119e-306,1.69119e-306,,,0.0895862,1.69119e-306,1.69119e-306,,,30.8979,1.69119e-306,1.69119e-306
29/06/2023 16:07:54:122,345.997,1.60221e-306,1.60221e-306,,,0.088591,1.60221e-306,1.60221e-306,,,30.5908,1.60221e-306,1.60221e-306
29/06/2023 16:07:55:348,345.996,1.11261e-306,1.11261e-306,,,0.0884357,1.11261e-306,1.11261e-306,,,30.6576,1.11261e-306,1.11261e-306
29/06/2023 16:07:56:165,345.995,1.86922e-306,1.86922e-306,,,0.0893551,1.86922e-306,1.86922e-306,,,30.9419,1.86922e-306,1.86922e-306
29/06/2023 16:07:57:398,345.997,3.22646e-307,3.22646e-307,,,0.0889711,3.22646e-307,3.22646e-307,,,30.8188,3.22646e-307,3.22646e-307
29/06/2023 16:07:58:196,345.997,2.44768e-307,2.44768e-307,,,0.089002,2.44768e-307,2.44768e-307,,,30.8637,2.44768e-307,2.44768e-307
29/06/2023 16:07:59:401,345.998,1.00133e-307,1.00133e-307,,,-5.87677,1.00133e-307,1.00133e-307,,,-2033.19,1.00133e-307,1.00133e-307
29/06/2023 16:08:00:236,345.997,1.22384e-307,1.22384e-307,,,-5.87921,1.22384e-307,1.22384e-307,,,-2034.05,1.22384e-307,1.22384e-307
29/06/2023 16:08:01:267,345.999,2.13621e-306,2.13621e-306,,,-5.88226,2.13621e-306,2.13621e-306,,,-2035.12,2.13621e-306,2.13621e-306
29/06/2023 16:08:02:246,346.001,8.01102e-307,8.01102e-307,,,-5.88258,8.01102e-307,8.01102e-307,,,-2035.17,8.01102e-307,8.01102e-307
29/06/2023 16:08:03:295,346.005,1.29061e-306,1.29061e-306,,,-6.14266,1.29061e-306,1.29061e-306,,,-2136.44,1.29061e-306,1.29061e-306
29/06/2023 16:08:04:105,346.005,1.24611e-306,1.24611e-306,,,-7.98831,1.24611e-306,1.24611e-306,,,-2764.35,1.24611e-306,1.24611e-306
29/06/2023 16:08:05:319,346.007,1.11261e-306,1.11261e-306,,,-8.00139,1.11261e-306,1.11261e-306,,,-2768.4,1.11261e-306,1.11261e-306
29/06/2023 16:08:06:306,346.008,8.01098e-307,8.01098e-307,,,-7.38903,8.01098e-307,8.01098e-307,,,-2103.77,8.01098e-307,8.01098e-307
29/06/2023 16:08:07:530,346.011,1.37962e-306,1.37962e-306,,,-5.8812,1.37962e-306,1.37962e-306,,,-2034.78,1.37962e-306,1.37962e-306
29/06/2023 16:08:08:164,346.011,1.11261e-306,1.11261e-306,,,-5.8812,1.11261e-306,1.11261e-306,,,-2034.93,1.11261e-306,1.11261e-306
29/06/2023 16:08:09:572,346.013,7.56599e-307,7.56599e-307,,,-5.88276,7.56599e-307,7.56599e-307,,,-2035.29,7.56599e-307,7.56599e-307
29/06/2023 16:08:10:201,346.014,8.01101e-307,8.01101e-307,,,-5.88206,8.01101e-307,8.01101e-307,,,-2035.07,8.01101e-307,8.01101e-307
29/06/2023 16:08:11:601,346.016,1.502e-307,1.502e-307,,,-5.88233,1.502e-307,1.502e-307,,,-2035.23,1.502e-307,1.502e-307
29/06/2023 16:08:12:226,346.018,1.50199e-307,1.50199e-307,,,-5.88331,1.50199e-307,1.50199e-307,,,-2035.52,1.50199e-307,1.50199e-307
29/06/2023 16:08:13:448,346.019,7.56577e-307,7.56577e-307,,,-5.88441,7.56577e-307,7.56577e-307,,,-2035.89,7.56577e-307,7.56577e-307
29/06/2023 16:08:14:437,346.022,1.3796e-306,1.3796e-306,,,-5.97414,1.3796e-306,1.3796e-306,,,-2066.99,1.3796e-306,1.3796e-306
29/06/2023 16:08:15:463,346.023,1.60217e-306,1.60217e-306,,,-5.97473,1.60217e-306,1.60217e-306,,,-2067.17,1.60217e-306,1.60217e-306
29/06/2023 16:08:16:471,346.024,1.3796e-306,1.3796e-306,,,-5.97514,1.3796e-306,1.3796e-306,,,-2067.32,1.3796e-306,1.3796e-306
29/06/2023 16:08:17:690,346.026,7.56591e-307,7.56591e-307,,,-5.88211,7.56591e-307,7.56591e-307,,,-2035.2,7.56591e-307,7.56591e-307
29/06/2023 16:08:18:323,346.028,1.33512e-306,1.33512e-306,,,-5.88203,1.33512e-306,1.33512e-306,,,-2035.08,1.33512e-306,1.33512e-306
29/06/2023 16:08:19:549,346.031,9.34606e-307,9.34606e-307,,,-6.1798,9.34606e-307,9.34606e-307,,,-2140.98,9.34606e-307,9.34606e-307
29/06/2023 16:08:20:359,346.032,1.37959e-306,1.37959e-306,,,-6.38847,1.37959e-306,1.37959e-306,,,-2210.43,1.37959e-306,1.37959e-306
29/06/2023 16:08:21:765,346.032,1.50201e-307,1.50201e-307,,,-6.3888,1.50201e-307,1.50201e-307,,,-2210.58,1.50201e-307,1.50201e-307
29/06/2023 16:08:22:578,346.035,4.22784e-307,4.22784e-307,,,-5.89875,4.22784e-307,4.22784e-307,,,-2039.15,4.22784e-307,4.22784e-307
29/06/2023 16:08:23:780,346.035,1.50201e-307,1.50201e-307,,,-5.8819,1.50201e-307,1.50201e-307,,,-2035.09,1.50201e-307,1.50201e-307
29/06/2023 16:08:24:598,346.037,1.502e-307,1.502e-307,,,-5.88299,1.502e-307,1.502e-307,,,-2035.5,1.502e-307,1.502e-307
29/06/2023 16:08:25:655,346.038,1.1126e-306,1.1126e-306,,,-5.88226,1.1126e-306,1.1126e-306,,,-2035.31,1.1126e-306,1.1126e-306
29/06/2023 16:08:26:464,346.041,7.56599e-307,7.56599e-307,,,-5.88254,7.56599e-307,7.56599e-307,,,-2035.39,7.56599e-307,7.56599e-307
29/06/2023 16:08:27:851,346.042,1.33511e-306,1.33511e-306,,,-5.88192,1.33511e-306,1.33511e-306,,,-2458.1,1.33511e-306,1.33511e-306
29/06/2023 16:08:28:500,346.044,1.06811e-306,1.06811e-306,,,-7.69714,1.06811e-306,1.06811e-306,,,-2663.41,1.06811e-306,1.06811e-306
29/06/2023 16:08:29:727,346.045,1.24611e-306,1.24611e-306,,,-7.69779,1.24611e-306,1.24611e-306,,,-2663.59,1.24611e-306,1.24611e-306
29/06/2023 16:08:30:733,346.047,1.50212e-307,1.50212e-307,,,-7.8078,1.50212e-307,1.50212e-307,,,-2704.94,1.50212e-307,1.50212e-307
29/06/2023 16:08:31:779,346.05,1.50212e-307,1.50212e-307,,,-8.30518,1.50212e-307,1.50212e-307,,,-2873.74,1.50212e-307,1.50212e-307
29/06/2023 16:08:32:585,346.052,1.60221e-306,1.60221e-306,,,-8.30514,1.60221e-306,1.60221e-306,,,-2873.78,1.60221e-306,1.60221e-306
29/06/2023 16:08:33:812,346.056,1.7802e-306,1.7802e-306,,,-7.60658,1.7802e-306,1.7802e-306,,,-2632.05,1.7802e-306,1.7802e-306
29/06/2023 16:08:34:627,346.056,1.29061e-306,1.29061e-306,,,-7.60551,1.29061e-306,1.29061e-306,,,-2631.67,1.29061e-306,1.29061e-306
29/06/2023 16:08:36:026,346.058,1.7802e-306,1.7802e-306,,,-7.7076,1.7802e-306,1.7802e-306,,,-2670.3,1.7802e-306,1.7802e-306
29/06/2023 16:08:36:677,346.059,1.50201e-307,1.50201e-307,,,-8.19872,1.50201e-307,1.50201e-307,,,-2837.05,1.50201e-307,1.50201e-307
29/06/2023 16:08:38:073,346.063,1.50202e-307,1.50202e-307,,,-8.20038,1.50202e-307,1.50202e-307,,,-2837.58,1.50202e-307,1.50202e-307
29/06/2023 16:08:38:700,346.064,2.67019e-307,2.67019e-307,,,-8.19891,2.67019e-307,2.67019e-307,,,-2837.09,2.67019e-307,2.67019e-307
29/06/2023 16:08:39:924,346.068,3.22646e-307,3.22646e-307,,,-12.4262,3.22646e-307,3.22646e-307,,,-4300.09,3.22646e-307,3.22646e-307
29/06/2023 16:08:40:920,346.068,3.56032e-307,3.56032e-307,,,-12.4298,3.56032e-307,3.56032e-307,,,-4301.25,3.56032e-307,3.56032e-307
29/06/2023 16:08:42:128,346.075,7.43654e-219,7.43654e-219,,,-12.6389,7.43654e-219,7.43654e-219,,,-4373.83,7.43654e-219,7.43654e-219
29/06/2023 16:08:42:940,346.077,1.02941e-218,1.02941e-218,,,-12.6405,1.02941e-218,1.02941e-218,,,-4374.19,1.02941e-218,1.02941e-218
29/06/2023 16:08:43:986,346.081,1.73391e-221,1.73391e-221,,,-12.6424,1.73391e-221,1.73391e-221,,,-4374.92,1.73391e-221,1.73391e-221
29/06/2023 16:08:44:793,346.084,2.16105e-217,2.16105e-217,,,-13.6465,2.16105e-217,2.16105e-217,,,-4722.48,2.16105e-217,2.16105e-217
29/06/2023 16:08:46:017,346.088,5.32417e-219,5.32417e-219,,,-13.6467,5.32417e-219,5.32417e-219,,,-4722.54,5.32417e-219,5.32417e-219
29/06/2023 16:08:46:826,346.092,3.77807e-220,3.77807e-220,,,-13.6475,3.77807e-220,3.77807e-220,,,-4722.81,3.77807e-220,3.77807e-220
29/06/2023 16:08:48:223,346.095,4.02153e-221,4.02153e-221,,,-14.3449,4.02153e-221,4.02153e-221,,,-4964.33,4.02153e-221,4.02153e-221
29/06/2023 16:08:49:032,346.098,1.50598e-307,1.50598e-307,,,-14.3454,1.50598e-307,1.50598e-307,,,-4964.5,1.50598e-307,1.50598e-307
29/06/2023 16:08:50:243,346.102,1.50585e-307,1.50585e-307,,,-13.5497,1.50585e-307,1.50585e-307,,,-4678.42,1.50585e-307,1.50585e-307
29/06/2023 16:08:51:065,346.106,6.39574e-279,6.39574e-279,,,-12.428,6.39574e-279,6.39574e-279,,,-4300.93,6.39574e-279,6.39574e-279
29/06/2023 16:08:52:107,346.11,2.29391e-278,2.29391e-278,,,-12.4264,2.29391e-278,2.29391e-278,,,-4300.46,2.29391e-278,2.29391e-278
29/06/2023 16:08:52:901,346.111,5.95503e-279,5.95503e-279,,,-13.8656,5.95503e-279,5.95503e-279,,,-4812.69,5.95503e-279,5.95503e-279
29/06/2023 16:08:54:115,346.114,5.29398e-279,5.29398e-279,,,-14.9551,5.29398e-279,5.29398e-279,,,-5175.63,5.29398e-279,5.29398e-279
29/06/2023 16:08:55:138,346.118,1.85316e-278,1.85316e-278,,,-14.9544,1.85316e-278,1.85316e-278,,,-5175.48,1.85316e-278,1.85316e-278
29/06/2023 16:08:56:355,346.121,1.10288e-278,1.10288e-278,,,-15.4119,1.10288e-278,1.10288e-278,,,-5337.22,1.10288e-278,1.10288e-278
29/06/2023 16:08:56:980,346.124,1.50326e-307,1.50326e-307,,,-15.5589,1.50326e-307,1.50326e-307,,,-5384.78,1.50326e-307,1.50326e-307
29/06/2023 16:08:58:377,346.128,1.50327e-307,1.50327e-307,,,-15.5587,1.50327e-307,1.50327e-307,,,-5384.78,1.50327e-307,1.50327e-307
29/06/2023 16:08:59:187,346.131,1.45371e-282,1.45371e-282,,,-15.759,1.45371e-282,1.45371e-282,,,-5454.21,1.45371e-282,1.45371e-282
29/06/2023 16:09:00:230,346.133,3.44767e-282,3.44767e-282,,,-15.7583,3.44767e-282,3.44767e-282,,,-5454.04,3.44767e-282,3.44767e-282
29/06/2023 16:09:01:223,346.136,2.36944e-282,2.36944e-282,,,-15.759,2.36944e-282,2.36944e-282,,,-5454.27,2.36944e-282,2.36944e-282
29/06/2023 16:09:02:266,346.141,9.6953e-283,9.6953e-283,,,-15.4539,9.6953e-283,9.6953e-283,,,-5348.75,9.6953e-283,9.6953e-283
